id,first_name,last_name,email,gender,transaction_per_year,discount_ratio,no_of_transactions,time_in_system,churned
687,Kimberly,King,kkingj2@youtube.com,Female,299857,0.9,13,5,1
688,Diane,Patterson,dpattersonj3@europa.eu,Female,419915,0.2,7,5,0
689,Ernest,Austin,eaustinj4@house.gov,Male,295402,0.2,19,11,0
690,Bonnie,Hill,bhillj5@qq.com,Female,320887,0.4,11,10,1
691,Shawn,Greene,sgreenej6@kickstarter.com,Male,367272,0.8,14,12,1
692,Willie,Marshall,wmarshallj7@harvard.edu,Male,194849,0.6,9,8,0
693,Martin,Burns,mburnsj8@ucla.edu,Male,288577,0.1,12,3,1
694,Joe,Howell,jhowellj9@sohu.com,Male,191364,0.5,9,7,0
695,Earl,Marshall,emarshallja@nature.com,Male,476223,0.8,16,5,1
696,Stephen,Harvey,sharveyjb@cdbaby.com,Male,100035,1,5,11,0
697,Billy,Morales,bmoralesjc@ow.ly,Male,374989,1,10,5,1
698,Todd,Cruz,tcruzjd@nytimes.com,Male,303863,0.6,18,9,1
699,Janet,Freeman,jfreemanje@mysql.com,Female,376141,0.8,7,4,1
700,Phillip,Perkins,pperkinsjf@howstuffworks.com,Male,197087,0.3,6,4,1
701,Bonnie,Lynch,blynchjg@microsoft.com,Female,495676,0.3,15,10,0
702,Ronald,Daniels,rdanielsjh@phoca.cz,Male,427252,0.3,16,3,0
703,Ruby,Jordan,rjordanji@umich.edu,Female,315592,0.5,10,5,1
704,Barbara,Dean,bdeanjj@slate.com,Female,157444,0.2,14,9,0
705,Howard,Webb,hwebbjk@hud.gov,Male,66184,0.9,15,12,0
706,Samuel,Murray,smurrayjl@pagesperso-orange.fr,Male,414522,0.7,14,6,0
707,Adam,Fernandez,afernandezjm@deliciousdays.com,Male,72102,0.2,15,12,0
708,Kathryn,Burton,kburtonjn@examiner.com,Female,305783,1,10,8,0
709,Thomas,Graham,tgrahamjo@google.ca,Male,350114,0.7,16,5,1
710,Ashley,Simpson,asimpsonjp@abc.net.au,Female,119155,0.2,9,7,0
711,Douglas,Collins,dcollinsjq@bbc.co.uk,Male,76891,0.7,13,12,1
712,Jane,Henderson,jhendersonjr@washington.edu,Female,386023,0.8,8,5,0
713,Kenneth,Rodriguez,krodriguezjs@clickbank.net,Male,176046,0.4,6,9,0
714,Benjamin,Carpenter,bcarpenterjt@si.edu,Male,364235,1,16,8,1
715,Anna,Martin,amartinju@cmu.edu,Female,267297,0.6,18,9,1
716,Paula,Barnes,pbarnesjv@instagram.com,Female,79126,0.4,17,6,0
717,Alice,Hamilton,ahamiltonjw@ning.com,Female,482327,0.5,19,5,0
718,Jonathan,Murphy,jmurphyjx@dailymail.co.uk,Male,331693,0.9,16,9,0
719,Douglas,Gray,dgrayjy@aol.com,Male,263625,0.4,13,7,0
720,George,Butler,gbutlerjz@slashdot.org,Male,294470,0.7,7,11,1
721,Roger,Fuller,rfullerk0@bravesites.com,Male,197802,0.6,9,10,1
722,Doris,Hall,dhallk1@live.com,Female,74949,0.7,9,8,0
723,Jesse,Riley,jrileyk2@ftc.gov,Male,216923,0.2,9,8,1
724,Barbara,Hamilton,bhamiltonk3@abc.net.au,Female,477263,0.7,18,8,0
725,Timothy,Roberts,trobertsk4@seesaa.net,Male,97010,0,10,7,0
726,Julia,Rivera,jriverak5@pbs.org,Female,188534,0,15,7,1
727,John,Hicks,jhicksk6@e-recht24.de,Male,217284,0.3,15,11,0
728,Lisa,Hernandez,lhernandezk7@nasa.gov,Female,474644,0.3,8,11,0
729,Joan,Wells,jwellsk8@bing.com,Female,201454,0.7,11,11,0
730,Marilyn,Porter,mporterk9@bigcartel.com,Female,494544,0.5,19,7,1
731,Todd,Henry,thenryka@npr.org,Male,380713,0.1,16,5,0
732,Joshua,Cox,jcoxkb@domainmarket.com,Male,235791,1,19,11,0
733,Heather,Clark,hclarkkc@linkedin.com,Female,113074,0.4,7,9,1
734,Melissa,Ellis,melliskd@gov.uk,Female,456784,0.6,9,4,1
735,Adam,Nelson,anelsonke@imdb.com,Male,370786,0.5,14,9,0
736,Kathryn,Rodriguez,krodriguezkf@reddit.com,Female,399384,1,16,4,1
737,Marilyn,Powell,mpowellkg@nytimes.com,Female,380106,0.2,7,8,0
738,Melissa,Stone,mstonekh@java.com,Female,403681,0.4,5,6,0
739,Adam,Martin,amartinki@vinaora.com,Male,400129,0.1,19,8,0
740,Irene,Knight,iknightkj@bizjournals.com,Female,240790,0.4,20,11,0
741,Cynthia,Collins,ccollinskk@pbs.org,Female,333499,0.2,7,4,1
742,Jeremy,Foster,jfosterkl@mozilla.org,Male,468109,0.1,18,10,1
743,Anne,Jordan,ajordankm@clickbank.net,Female,85430,0.2,7,8,0
744,Sean,Dean,sdeankn@1und1.de,Male,63703,0.2,12,6,1
745,Bonnie,Fuller,bfullerko@gov.uk,Female,370838,0.8,9,10,1
746,Paul,Martin,pmartinkp@cornell.edu,Male,99517,0.6,12,9,1
747,Andrew,Peters,apeterskq@w3.org,Male,229210,0.7,8,5,1
748,Randy,Mcdonald,rmcdonaldkr@businessinsider.com,Male,278408,1,6,6,1
749,Victor,Ray,vrayks@microsoft.com,Male,336796,0.2,6,3,0
750,Virginia,Mccoy,vmccoykt@nbcnews.com,Female,364251,0.5,9,11,1
751,Jacqueline,Perez,jperezku@fastcompany.com,Female,238812,0.8,8,12,1
752,Laura,Riley,lrileykv@msu.edu,Female,312839,0.1,13,11,0
753,Lillian,Perkins,lperkinskw@about.me,Female,428549,0,5,7,1
754,Brenda,Evans,bevanskx@cbsnews.com,Female,377704,0.1,10,9,0
755,Melissa,Allen,mallenky@quantcast.com,Female,229154,0.2,17,4,1
756,Paul,Hernandez,phernandezkz@patch.com,Male,296145,0.8,17,7,0
757,Larry,Bryant,lbryantl0@google.pl,Male,362311,0.2,13,7,1
758,Jennifer,Morrison,jmorrisonl1@gravatar.com,Female,310467,0.7,17,5,1
759,Billy,Crawford,bcrawfordl2@toplist.cz,Male,469352,0,5,8,1
760,Jacqueline,Rodriguez,jrodriguezl3@intel.com,Female,58174,0.5,6,5,1
761,Ernest,Jackson,ejacksonl4@unicef.org,Male,271122,0.9,5,8,0
762,Amy,Carpenter,acarpenterl5@mashable.com,Female,365238,0.7,8,12,1
763,Catherine,Schmidt,cschmidtl6@instagram.com,Female,461418,0.2,9,8,0
764,Anthony,Walker,awalkerl7@freewebs.com,Male,479307,0.5,9,8,0
765,Lawrence,Lopez,llopezl8@wordpress.org,Male,460833,0.4,6,10,1
766,Wanda,Warren,wwarrenl9@shop-pro.jp,Female,313466,0,8,8,0
767,Bruce,Alvarez,balvarezla@microsoft.com,Male,76488,0.8,18,6,0
768,Kenneth,Hughes,khugheslb@unblog.fr,Male,136316,0.6,17,7,0
769,David,Howell,dhowelllc@unc.edu,Male,69864,0.8,12,9,1
770,Edward,Simpson,esimpsonld@pinterest.com,Male,407431,0.1,15,12,1
771,Christine,Duncan,cduncanle@techcrunch.com,Female,480270,0.7,18,3,1
772,Rebecca,Bennett,rbennettlf@amazonaws.com,Female,99338,0.7,19,9,0
773,Eric,Freeman,efreemanlg@tinypic.com,Male,396771,0.5,5,8,1
774,Anna,Daniels,adanielslh@last.fm,Female,331797,0.9,14,3,1
775,Rose,Holmes,rholmesli@utexas.edu,Female,253539,0.9,20,5,1
776,Michael,Mccoy,mmccoylj@ca.gov,Male,475789,0,10,5,0
777,Sara,Lane,slanelk@delicious.com,Female,144050,0.8,12,12,0
778,Doris,Sanders,dsandersll@senate.gov,Female,157953,1,6,12,0
779,Joshua,Stephens,jstephenslm@hostgator.com,Male,294441,0.8,12,4,0
780,Russell,White,rwhiteln@ning.com,Male,337097,0.4,16,4,0
781,Elizabeth,Bishop,ebishoplo@hud.gov,Female,138794,0.9,17,11,0
782,Kathy,Fields,kfieldslp@reuters.com,Female,449976,0.1,11,8,0
783,Daniel,Porter,dporterlq@wired.com,Male,84956,0.7,15,8,1
784,Virginia,Ruiz,vruizlr@com.com,Female,50243,0.2,12,10,0
785,Diana,Holmes,dholmesls@tripod.com,Female,253788,0.7,6,11,0
786,Phillip,Rose,proselt@wufoo.com,Male,254057,0.6,19,7,0
787,Jeremy,Gilbert,jgilbertlu@buzzfeed.com,Male,223199,0.3,14,11,1
788,Lisa,Long,llonglv@blog.com,Female,101192,0.3,13,4,0
789,Gary,Rice,gricelw@tripadvisor.com,Male,401662,0,15,10,1
790,Randy,Frazier,rfrazierlx@newyorker.com,Male,237580,0.8,7,11,0
791,Robert,Spencer,rspencerly@europa.eu,Male,244781,0.1,13,3,1
792,Jeffrey,Perkins,jperkinslz@nps.gov,Male,276707,0.1,12,11,0
793,Nicholas,Fox,nfoxm0@wisc.edu,Male,378693,0.3,5,8,1
794,Samuel,Bowman,sbowmanm1@seattletimes.com,Male,343071,0.4,13,10,1
795,Nicholas,Ferguson,nfergusonm2@bandcamp.com,Male,344059,0.3,6,5,1
796,Christopher,Owens,cowensm3@hostgator.com,Male,289115,0.8,15,7,0
797,Christine,Kelly,ckellym4@eepurl.com,Female,262130,0.2,18,8,0
798,Johnny,Murphy,jmurphym5@themeforest.net,Male,249061,0.6,20,6,1
799,Gloria,Harris,gharrism6@ning.com,Female,139936,0.3,10,10,1
800,Carl,Bryant,cbryantm7@squidoo.com,Male,281709,0.1,6,6,1
801,Ruth,Henry,rhenrym8@nature.com,Female,121337,0.4,5,7,1
802,Helen,Harvey,hharveym9@sitemeter.com,Female,188710,0.8,13,5,0
803,Kenneth,Murphy,kmurphyma@mapy.cz,Male,275233,0.4,10,11,1
804,Alan,Snyder,asnydermb@vk.com,Male,162258,0.9,20,7,1
805,Nancy,King,nkingmc@sphinn.com,Female,286830,0.2,5,8,0
806,Maria,Woods,mwoodsmd@weebly.com,Female,335366,0.7,5,12,1
807,Johnny,Howard,jhowardme@studiopress.com,Male,439587,0.9,7,3,0
808,Sara,Stewart,sstewartmf@washington.edu,Female,112032,0.5,10,9,1
809,Paul,Richards,prichardsmg@google.com.hk,Male,370253,0.1,17,4,0
810,Larry,Reid,lreidmh@utexas.edu,Male,261717,0.7,18,9,1
811,Rose,Fuller,rfullermi@t.co,Female,479405,0,19,3,1
812,Charles,Perry,cperrymj@cnn.com,Male,189106,0.5,13,4,1
813,Ann,Duncan,aduncanmk@ucoz.ru,Female,459715,0.6,13,11,1
814,Joan,Hamilton,jhamiltonml@mapquest.com,Female,278622,0.8,9,12,1
815,Irene,Alexander,ialexandermm@goo.ne.jp,Female,191812,0.9,15,3,1
816,Steve,Wheeler,swheelermn@examiner.com,Male,437989,0.7,8,4,0
817,Steve,Brown,sbrownmo@tinyurl.com,Male,208619,0.1,19,8,1
818,Albert,Carroll,acarrollmp@whitehouse.gov,Male,339514,0.1,7,8,0
819,Rose,Morris,rmorrismq@nifty.com,Female,56387,0.9,6,5,0
820,Henry,Snyder,hsnydermr@goo.ne.jp,Male,327272,0.1,12,5,1
821,Todd,Campbell,tcampbellms@slideshare.net,Male,353555,0.8,13,3,1
822,Samuel,Anderson,sandersonmt@booking.com,Male,146494,0.1,18,6,1
823,Roy,Stephens,rstephensmu@unicef.org,Male,119849,0.7,8,7,0
824,Julia,Morrison,jmorrisonmv@hatena.ne.jp,Female,56513,0.8,7,7,1
825,Ralph,Stevens,rstevensmw@tmall.com,Male,348110,0.6,7,8,1
826,Richard,Holmes,rholmesmx@bravesites.com,Male,305685,0.5,13,5,0
827,Jose,Holmes,jholmesmy@mac.com,Male,473300,0.1,18,9,1
828,Emily,Cruz,ecruzmz@artisteer.com,Female,499660,0.9,9,11,0
829,Barbara,Perez,bperezn0@rakuten.co.jp,Female,84607,0.5,16,3,1
830,Michael,Anderson,mandersonn1@dion.ne.jp,Male,312064,0.1,12,6,0
831,Eric,Webb,ewebbn2@biglobe.ne.jp,Male,182886,1,13,11,0
832,Janice,Gardner,jgardnern3@edublogs.org,Female,464785,0.8,18,8,1
833,Jimmy,Davis,jdavisn4@cornell.edu,Male,128071,1,9,5,0
834,Russell,Carr,rcarrn5@wordpress.com,Male,72881,0.4,19,6,0
835,Heather,Robertson,hrobertsonn6@naver.com,Female,218495,0.4,14,12,1
836,Nicholas,Carter,ncartern7@ca.gov,Male,236616,0.4,17,12,0
837,Alice,Mason,amasonn8@t-online.de,Female,245166,0.1,14,7,0
838,Charles,Nguyen,cnguyenn9@accuweather.com,Male,413567,0.2,8,12,0
839,Ralph,Butler,rbutlerna@walmart.com,Male,288017,0.2,18,6,0
840,Rachel,Hunt,rhuntnb@merriam-webster.com,Female,282072,0.4,15,5,0
841,Adam,Carpenter,acarpenternc@infoseek.co.jp,Male,365355,0.6,18,4,0
842,Doris,Young,dyoungnd@nih.gov,Female,136461,0.4,7,11,0
843,Jane,Ramos,jramosne@engadget.com,Female,330445,0.3,15,9,1
844,Carl,White,cwhitenf@nymag.com,Male,113391,0.5,12,9,1
845,Helen,Hicks,hhicksng@boston.com,Female,67497,0.9,11,3,1
846,Jerry,Romero,jromeronh@yandex.ru,Male,62008,0.6,5,8,0
847,Philip,Bradley,pbradleyni@odnoklassniki.ru,Male,446877,0.8,9,12,0
848,Randy,Lynch,rlynchnj@yahoo.com,Male,328935,0.9,6,8,1
849,Kathleen,Carter,kcarternk@state.tx.us,Female,223468,0.9,15,12,1
850,Annie,King,akingnl@google.es,Female,104834,0.7,9,8,0
851,Jason,Carroll,jcarrollnm@example.com,Male,132085,0.8,12,10,0
852,Joan,Perry,jperrynn@hostgator.com,Female,104407,0.2,17,4,1
853,Dennis,Hansen,dhansenno@tinypic.com,Male,406289,0.3,9,11,0
854,Ralph,Peterson,rpetersonnp@google.com.au,Male,476415,0.4,17,8,1
855,Justin,Barnes,jbarnesnq@g.co,Male,422081,0.2,8,3,1
856,Bobby,Castillo,bcastillonr@flavors.me,Male,490985,0.6,17,8,1
857,Anne,Lewis,alewisns@census.gov,Female,320142,1,7,6,0
858,Maria,Bradley,mbradleynt@bandcamp.com,Female,202807,0.5,5,12,0
859,Brenda,Cole,bcolenu@cpanel.net,Female,303626,0.8,7,11,1
860,Betty,Nguyen,bnguyennv@opensource.org,Female,89553,0.7,18,10,0
861,Laura,Garza,lgarzanw@webnode.com,Female,288252,0.3,7,12,1
862,Jean,Alexander,jalexandernx@theguardian.com,Female,59294,0,8,11,1
863,Judith,Mason,jmasonny@bloglines.com,Female,339541,0.2,5,9,1
864,Russell,Garcia,rgarcianz@npr.org,Male,51741,0.4,9,7,1
865,Richard,Lawson,rlawsono0@loc.gov,Male,180069,0.3,17,12,0
866,Joseph,Dixon,jdixono1@geocities.com,Male,469001,0.9,6,7,1
867,Ruby,Murphy,rmurphyo2@drupal.org,Female,213151,0.9,12,6,0
868,Ruby,Cunningham,rcunninghamo3@livejournal.com,Female,276574,0.3,16,4,1
869,Billy,Alexander,balexandero4@illinois.edu,Male,425121,0.7,18,4,1
870,Gloria,Rose,groseo5@sun.com,Female,81170,0.9,16,8,0
871,Richard,Sullivan,rsullivano6@moonfruit.com,Male,441564,0.9,10,12,0
872,Paula,Allen,palleno7@unicef.org,Female,497114,0.6,19,11,0
873,Paul,Andrews,pandrewso8@europa.eu,Male,444732,0.2,11,9,0
874,Joyce,Bryant,jbryanto9@live.com,Female,373509,0.2,16,6,0
875,Sharon,Hawkins,shawkinsoa@netvibes.com,Female,290901,0.8,9,12,1
876,Michael,Powell,mpowellob@cyberchimps.com,Male,262102,0.3,15,3,1
877,Christopher,King,ckingoc@joomla.org,Male,348065,0.4,14,5,1
878,Adam,Cruz,acruzod@who.int,Male,61575,0,13,12,0
879,Adam,Reyes,areyesoe@seattletimes.com,Male,430318,0.6,14,11,1
880,Thomas,Hawkins,thawkinsof@blinklist.com,Male,413701,0.8,17,6,0
881,Jose,Lawson,jlawsonog@oracle.com,Male,311276,0.6,5,8,0
882,Christine,Nichols,cnicholsoh@digg.com,Female,230549,0.9,18,6,0
883,Shirley,Perry,sperryoi@cocolog-nifty.com,Female,200507,0.4,8,8,1
884,Sharon,Bennett,sbennettoj@tmall.com,Female,161544,0.2,10,12,1
885,Bobby,Henry,bhenryok@blogspot.com,Male,317632,0.9,5,10,1
886,Stephanie,Robertson,srobertsonol@infoseek.co.jp,Female,201397,0.1,20,8,1
887,Annie,Rivera,ariveraom@blogger.com,Female,311970,0.4,20,10,0
888,William,Tucker,wtuckeron@mapy.cz,Male,90491,0.2,5,5,1
889,Christine,Lee,cleeoo@flavors.me,Female,122892,0.5,20,7,1
890,Martin,Clark,mclarkop@go.com,Male,478967,0.7,5,4,0
891,Christopher,Greene,cgreeneoq@yahoo.co.jp,Male,376994,1,5,5,0
892,Anne,Romero,aromeroor@biglobe.ne.jp,Female,68067,0.3,12,4,1
893,Samuel,Jones,sjonesos@tiny.cc,Male,439383,0.6,14,11,0
894,Wanda,Richards,wrichardsot@about.me,Female,432967,0.4,13,6,1
895,Douglas,Gibson,dgibsonou@e-recht24.de,Male,413825,0.1,5,9,0
896,Sharon,Bryant,sbryantov@bloglovin.com,Female,194201,0.7,8,4,1
897,Matthew,Schmidt,mschmidtow@cyberchimps.com,Male,99903,0.9,11,3,1
898,James,Ortiz,jortizox@instagram.com,Male,91492,0.6,19,6,1
899,Edward,Fields,efieldsoy@123-reg.co.uk,Male,284204,0.5,11,8,1
900,Paula,Freeman,pfreemanoz@opensource.org,Female,183857,0.3,13,3,1
901,Christopher,Stewart,cstewartp0@about.com,Male,458012,0.6,18,3,1
902,Wayne,Cooper,wcooperp1@xing.com,Male,166722,0.7,15,12,1
903,Kathy,Lane,klanep2@lycos.com,Female,52820,0,6,11,0
904,Alice,Hudson,ahudsonp3@mozilla.org,Female,184385,0.1,5,10,1
905,Stephen,Willis,swillisp4@gizmodo.com,Male,304910,0.2,7,8,1
906,Thomas,Phillips,tphillipsp5@wp.com,Male,121453,0.1,9,9,1
907,Gary,Reynolds,greynoldsp6@amazon.co.uk,Male,158818,0.5,13,7,1
908,Kathleen,Green,kgreenp7@globo.com,Female,361117,0.7,11,7,0
909,Janice,Russell,jrussellp8@tripadvisor.com,Female,152741,0.8,16,6,0
910,Brandon,Sims,bsimsp9@furl.net,Male,97788,0.9,13,9,1
911,Christina,Clark,cclarkpa@amazon.com,Female,54928,0,16,12,1
912,Cheryl,Fuller,cfullerpb@dmoz.org,Female,497125,0.1,11,3,1
913,Amy,Carroll,acarrollpc@walmart.com,Female,470839,0.4,16,9,0
914,Deborah,Green,dgreenpd@ovh.net,Female,441408,0.4,13,3,1
915,Jerry,Riley,jrileype@scribd.com,Male,313279,0.1,8,8,1
916,Jean,Johnston,jjohnstonpf@sogou.com,Female,383179,0,16,9,0
917,Marie,Sims,msimspg@tinypic.com,Female,50083,0.3,8,11,1
918,Rachel,Kelley,rkelleyph@ucoz.ru,Female,173531,0.2,5,8,1
919,Ernest,Alexander,ealexanderpi@prweb.com,Male,327329,1,17,6,1
920,Howard,Ray,hraypj@bigcartel.com,Male,167990,0.1,7,6,1
921,Jack,Knight,jknightpk@utexas.edu,Male,95308,0.2,18,12,1
922,Phillip,Owens,powenspl@prlog.org,Male,176920,0.4,11,4,1
923,Alan,Romero,aromeropm@icq.com,Male,392236,0.7,12,6,1
924,Mark,Lynch,mlynchpn@tamu.edu,Male,284749,0.9,7,6,1
925,Willie,Jenkins,wjenkinspo@altervista.org,Male,411481,0.1,6,3,1
926,Peter,Wallace,pwallacepp@amazon.de,Male,134125,0.4,12,4,1
927,Dorothy,Stanley,dstanleypq@ibm.com,Female,363664,0.9,10,8,0
928,Ralph,Rodriguez,rrodriguezpr@pcworld.com,Male,336553,0,13,9,0
929,Mildred,Ortiz,mortizps@mozilla.org,Female,203671,0.2,18,3,1
930,Bobby,Mccoy,bmccoypt@nps.gov,Male,382270,0.3,14,12,0
931,Brandon,Bennett,bbennettpu@ox.ac.uk,Male,85959,0.2,19,3,1
932,Carlos,Young,cyoungpv@cdbaby.com,Male,128710,0.6,18,4,0
933,Victor,West,vwestpw@senate.gov,Male,473914,0.5,20,6,1
934,Martin,Griffin,mgriffinpx@bigcartel.com,Male,66871,0,10,7,1
935,Sara,Marshall,smarshallpy@blogger.com,Female,486939,0.4,9,4,1
936,Roger,Ortiz,rortizpz@stumbleupon.com,Male,150021,1,10,5,0
937,Virginia,Lane,vlaneq0@nasa.gov,Female,78451,0.6,10,8,0
938,Wanda,Johnson,wjohnsonq1@wsj.com,Female,309382,0.4,8,3,0
939,Shirley,Stewart,sstewartq2@histats.com,Female,260992,0.9,17,4,0
940,Jack,Mitchell,jmitchellq3@stumbleupon.com,Male,398607,0.3,16,8,1
941,Shawn,Morrison,smorrisonq4@japanpost.jp,Male,480098,0.3,12,12,0
942,Fred,Bell,fbellq5@about.me,Male,214063,0.2,13,11,1
943,Gerald,Fowler,gfowlerq6@seesaa.net,Male,383367,0.9,13,5,0
944,Mary,Mcdonald,mmcdonaldq7@digg.com,Female,333838,0,8,6,1
945,Rebecca,Ruiz,rruizq8@1688.com,Female,169965,1,6,4,1
946,Gerald,Ferguson,gfergusonq9@amazon.co.jp,Male,114081,0.4,12,8,1
947,Alice,Little,alittleqa@bbc.co.uk,Female,201731,0.8,14,5,1
948,Paul,Mills,pmillsqb@foxnews.com,Male,345905,1,5,3,0
949,Benjamin,Porter,bporterqc@photobucket.com,Male,196898,0.5,14,11,1
950,Patricia,Bishop,pbishopqd@cbsnews.com,Female,117879,0.2,8,11,1
951,Lawrence,Anderson,landersonqe@ftc.gov,Male,327228,0.7,13,3,1
952,Norma,Ramos,nramosqf@qq.com,Female,59364,0.8,19,12,1
953,Sarah,Banks,sbanksqg@vistaprint.com,Female,470513,0.4,15,8,1
954,Catherine,Watson,cwatsonqh@fotki.com,Female,475169,0.5,10,4,1
955,Janet,Fisher,jfisherqi@home.pl,Female,193845,0.7,19,7,1
956,Judith,Arnold,jarnoldqj@rakuten.co.jp,Female,87596,0.1,11,3,1
957,Barbara,Owens,bowensqk@chronoengine.com,Female,420763,0.6,15,11,1
958,Andrew,James,ajamesql@pcworld.com,Male,324377,0.2,19,8,0
959,Shawn,Fox,sfoxqm@china.com.cn,Male,253000,0.6,11,11,0
960,Gregory,Barnes,gbarnesqn@uol.com.br,Male,412236,0.8,13,3,0
961,Victor,Robertson,vrobertsonqo@webs.com,Male,322486,0.7,17,6,1
962,Ann,Morris,amorrisqp@ovh.net,Female,128725,0.2,15,3,1
963,Matthew,George,mgeorgeqq@columbia.edu,Male,258980,0.4,15,4,0
964,Carlos,Adams,cadamsqr@adobe.com,Male,497387,0.2,5,11,0
965,Annie,Rice,ariceqs@bloglines.com,Female,467915,0.4,7,4,0
966,Howard,Garza,hgarzaqt@illinois.edu,Male,208524,0.8,15,8,1
967,Jacqueline,Diaz,jdiazqu@prweb.com,Female,402682,0.3,7,3,0
968,Deborah,Jenkins,djenkinsqv@va.gov,Female,182936,0.5,16,9,1
969,Steven,Richards,srichardsqw@g.co,Male,178589,0.4,16,7,0
970,Doris,Peterson,dpetersonqx@php.net,Female,347194,0.2,14,3,1
971,Joyce,Parker,jparkerqy@europa.eu,Female,456255,0.5,17,7,1
972,Joe,Smith,jsmithqz@abc.net.au,Male,223735,0.4,18,9,0
973,Marilyn,Brooks,mbrooksr0@ebay.co.uk,Female,326605,0.7,7,4,0
974,Maria,Walker,mwalkerr1@gov.uk,Female,245749,0.9,20,5,0
975,Jane,Mason,jmasonr2@mayoclinic.com,Female,130258,0.1,7,8,1
976,Maria,Harrison,mharrisonr3@answers.com,Female,212104,0.3,8,12,0
977,Steven,Elliott,selliottr4@examiner.com,Male,483111,0.3,9,7,1
978,Kathy,Holmes,kholmesr5@wordpress.org,Female,445728,0.8,19,10,1
979,Shirley,Phillips,sphillipsr6@si.edu,Female,285150,0.5,6,11,1
980,Lillian,Hunt,lhuntr7@aol.com,Female,56110,0.7,18,12,1
981,Nicole,Hicks,nhicksr8@google.nl,Female,461012,0.7,10,5,1
982,Billy,George,bgeorger9@house.gov,Male,343634,0.4,6,10,1
983,Kathy,Fowler,kfowlerra@bloglines.com,Female,166861,0.9,8,12,0
984,Louis,Barnes,lbarnesrb@sphinn.com,Male,217639,0.3,6,8,0
985,Donna,Coleman,dcolemanrc@weibo.com,Female,170865,1,12,9,1
986,Kathleen,Gardner,kgardnerrd@census.gov,Female,194790,0.7,6,10,1
987,Amy,Myers,amyersre@wufoo.com,Female,287085,0.8,18,3,0
988,Rose,Dixon,rdixonrf@addtoany.com,Female,101983,0.7,11,9,0
989,Alice,Howell,ahowellrg@jigsy.com,Female,461975,0.4,14,8,0
990,Dennis,Duncan,dduncanrh@go.com,Male,90609,0.6,6,9,0
991,Philip,Garza,pgarzari@patch.com,Male,461898,0.3,5,5,0
992,Ernest,Henderson,ehendersonrj@gov.uk,Male,249840,0.6,17,12,0
993,Gregory,Mccoy,gmccoyrk@patch.com,Male,261053,0.9,17,9,0
994,Donna,Campbell,dcampbellrl@ted.com,Female,428713,0.7,18,12,1
995,Roy,Hernandez,rhernandezrm@i2i.jp,Male,317803,0.7,18,6,0
996,Antonio,Wright,awrightrn@weibo.com,Male,95827,0.1,11,4,0
997,Arthur,Burke,aburkero@statcounter.com,Male,199740,0.6,18,10,0
998,Jack,Morris,jmorrisrp@flickr.com,Male,94667,0.1,16,9,1
999,Denise,Oliver,doliverrq@epa.gov,Female,78050,0.7,14,9,1
1000,Peter,Richardson,prichardsonrr@google.ca,Male,292053,0.6,9,8,1
